FECHA;USD;EURO
01/01/2017;3000.71;3136.64
02/01/2017;3000.71;3140.24
03/01/2017;2981.06;3095.83
04/01/2017;2965.36;3094.95
05/01/2017;2941.08;3088.43
06/01/2017;2919.01;3090.94
07/01/2017;2919.01;3090.94
08/01/2017;2919.01;3090.94
09/01/2017;2919.01;3090.94
10/01/2017;2949.6;3116.84
11/01/2017;2980.8;3130.73
12/01/2017;2930.19;3129.15
13/01/2017;2935.96;3130.03
14/01/2017;2935.96;3130.03
15/01/2017;2935.96;3130.03
16/01/2017;2935.96;3110.36
17/01/2017;2924.77;3124.82
18/01/2017;2934.58;3129.44
19/01/2017;2938.24;3134.51
20/01/2017;2927.91;3112.95
21/01/2017;2927.91;3112.95
22/01/2017;2927.91;3112.95
23/01/2017;2908.53;3116.49
24/01/2017;2932.01;3151.32
25/01/2017;2927.53;3145.05
26/01/2017;2936.72;3142.29
27/01/2017;2930.17;3129.71
28/01/2017;2930.17;3129.71
29/01/2017;2930.17;3129.71
30/01/2017;2936.66;3121.67
31/01/2017;2921.9;3142.5
01/02/2017;2906.78;3136.42
02/02/2017;2882.2;3115.08
03/02/2017;2855.8;3067.41
04/02/2017;2855.8;3067.41
05/02/2017;2855.8;3067.41
06/02/2017;2853.99;3057.19
07/02/2017;2867.76;3061.33
08/02/2017;2879.49;3070.98
09/02/2017;2862.63;3060.72
10/02/2017;2851.98;3031.37
11/02/2017;2851.98;3031.37
12/02/2017;2851.98;3031.37
13/02/2017;2875.46;3056.33
14/02/2017;2867.64;3046.29
15/02/2017;2876.03;3035.65
16/02/2017;2875.68;3063.17
17/02/2017;2902.81;3091.49
18/02/2017;2902.81;3091.49
19/02/2017;2902.81;3091.49
20/02/2017;2902.81;3081.62
21/02/2017;2902.68;3058.55
22/02/2017;2893.55;3041.99
23/02/2017;2871.67;3036.22
24/02/2017;2886.52;3062.31
25/02/2017;2886.52;3062.31
26/02/2017;2886.52;3062.31
27/02/2017;2896.27;3066.28
28/02/2017;2919.17;3093.44
01/03/2017;2935.75;3092.23
02/03/2017;2960.91;3113.1
03/03/2017;2977.43;3145.65
04/03/2017;2977.43;3145.65
05/03/2017;2977.43;3145.65
06/03/2017;2966.67;3142.3
07/03/2017;2972.44;3143.65
08/03/2017;2987.88;3154.01
09/03/2017;3004.43;3169.97
10/03/2017;2980.83;3161.47
11/03/2017;2980.83;3161.47
12/03/2017;2980.83;3161.47
13/03/2017;2987.93;3186.03
14/03/2017;2997.73;3186.89
15/03/2017;2972.61;3157.51
16/03/2017;2923.96;3136.24
17/03/2017;2912.53;3127.18
18/03/2017;2912.53;3127.18
19/03/2017;2912.53;3127.18
20/03/2017;2912.53;3127.18
21/03/2017;2904.87;3137.84
22/03/2017;2936.82;3173.82
23/03/2017;2921.25;3150.86
24/03/2017;2899.94;3133.39
25/03/2017;2899.94;3133.39
26/03/2017;2899.94;3133.39
27/03/2017;2913.48;3172.49
28/03/2017;2911.99;3162.13
29/03/2017;2888.02;3104.04
30/03/2017;2880.24;3092.51
31/03/2017;2885.57;3084.96
01/04/2017;2885.57;3084.96
02/04/2017;2885.57;3084.96
03/04/2017;2866.87;3056.37
04/04/2017;2869.32;3056.11
05/04/2017;2857.65;3051.4
06/04/2017;2853.1;3043.12
07/04/2017;2858;3038.05
08/04/2017;2858;3038.05
09/04/2017;2858;3038.05
10/04/2017;2867.13;3032.85
11/04/2017;2868.6;3045.31
12/04/2017;2872.55;3046.34
13/04/2017;2872.55;3046.34
14/04/2017;2872.55;3046.34
15/04/2017;2872.55;3046.34
16/04/2017;2872.55;3046.34
17/04/2017;2854.89;3034.75
18/04/2017;2837.9;3031.44
19/04/2017;2856.48;3063.57
20/04/2017;2863.39;3076.71
